t=2025-11-15T16:53:22+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-15T16:53:22+0100 lvl=info msg="using configuration at default config path" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-15T16:53:22+0100 lvl=info msg="open config file" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-15T16:53:22+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-15T16:53:23+0100 lvl=info msg="update available" obj=updater
t=2025-11-15T16:53:23+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-15T16:53:23+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-15T16:53:23+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://0f59dbac194f.ngrok-free.app
t=2025-11-15T16:53:47+0100 lvl=info msg=start pg=/api/tunnels id=01798dbb5e354bee
t=2025-11-15T16:53:47+0100 lvl=info msg=end pg=/api/tunnels id=01798dbb5e354bee status=200 dur=329.541µs
t=2025-11-15T16:56:29+0100 lvl=info msg="join connections" obj=join id=c0289aa7a2b8 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=1403695ab28f l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=cbecbafe7125 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=49c40a8d75bd l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=8c4061aef21c l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=4f2fd8d7d597 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=0b84dbed96f6 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=43ba8f6b408b l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=12d05e256328 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:56:31+0100 lvl=info msg="join connections" obj=join id=f13025965aad l=[::1]:3000 r=77.136.66.17:37915
